,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,split_fasta,302,5,1,5.0
1,blastall,63060550,3800,8,475.0
2,blastall,94717316,19512,8,2439.0
3,blastall,117863807,30992,8,3874.0
4,blastall,138540082,41256,8,5157.0
5,blastall,131603243,37816,8,4727.0
6,blastall,120527046,32320,8,4040.0
7,blastall,91164785,17744,8,2218.0
8,blastall,117309436,30720,8,3840.0
9,blastall,127656518,35856,8,4482.0
10,blastall,106592219,25400,8,3175.0
11,blastall,117809726,30968,8,3871.0
12,blastall,109995991,27088,8,3386.0
13,blastall,124136566,34112,8,4264.0
14,blastall,138135876,41056,8,5132.0
15,blastall,131810821,37920,8,4740.0
16,blastall,94138971,19224,8,2403.0
17,blastall,131958119,37992,8,4749.0
18,blastall,117219904,30680,8,3835.0
19,blastall,104679914,24456,8,3057.0
20,blastall,134458751,39232,8,4904.0
21,blastall,120804277,32456,8,4057.0
22,blastall,87644787,16000,8,2000.0
23,blastall,130511950,37272,8,4659.0
24,blastall,115705521,29928,8,3741.0
25,blastall,128328599,36192,8,4524.0
26,blastall,97278471,20784,8,2598.0
27,blastall,117291834,30712,8,3839.0
28,blastall,120869919,32488,8,4061.0
29,blastall,104651849,24440,8,3055.0
30,blastall,101063144,22656,8,2832.0
31,blastall,119408566,31760,8,3970.0
32,blastall,116613387,30376,8,3797.0
33,blastall,131903143,37960,8,4745.0
34,blastall,136717001,40352,8,5044.0
35,blastall,111344993,27760,8,3470.0
36,blastall,134603249,39304,8,4913.0
37,blastall,113441491,28800,8,3600.0
38,blastall,93249892,18784,8,2348.0
39,blastall,128343873,36200,8,4525.0
40,blastall,97435396,20856,8,2607.0
41,cat_blast,69552159328,4,1,4.0
42,cat,69552159328,0,1,0.0
43,blastall,63060550,3800,8,475.0
44,blastall,119515349,31816,8,3977.0
45,blastall,111444738,27808,8,3476.0
46,blastall,131279639,37656,8,4707.0
47,blastall,88448581,16400,8,2050.0
48,blastall,87961350,16160,8,2020.0
49,blastall,99107500,21688,8,2711.0
50,blastall,125617886,34840,8,4355.0
51,blastall,126067894,35064,8,4383.0
52,blastall,108971476,26584,8,3323.0
53,blastall,91633803,17976,8,2247.0
54,blastall,132863903,38440,8,4805.0
55,blastall,116760819,30448,8,3806.0
56,blastall,85303824,14840,8,1855.0
57,blastall,72792220,8632,8,1079.0
58,blastall,130085358,37064,8,4633.0
59,blastall,110691886,27440,8,3430.0
60,blastall,90804352,17568,8,2196.0
61,blastall,106822249,25520,8,3190.0
