,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,fastq_reduce,34693120,533,1,533.0
1,bwa_index,1046095347,382500,15,25500.0
2,bwa,835259954,3072,4,768.0
3,bwa,835259954,6472,4,1618.0
4,bwa,835259954,8904,4,2226.0
5,bwa,835259954,3072,4,768.0
6,bwa,835259954,3072,4,768.0
7,bwa,835259954,3072,4,768.0
8,bwa,835259954,3072,4,768.0
9,bwa,835259954,17728,4,4432.0
10,bwa,835259954,28908,4,7227.0
11,bwa,835259954,3868,4,967.0
12,bwa,835259954,6128,4,1532.0
13,bwa,835259954,3072,4,768.0
14,bwa,835259954,3236,4,809.0
15,bwa,835259954,3112,4,778.0
16,bwa,835259954,23884,4,5971.0
17,bwa,835259954,9588,4,2397.0
18,bwa,835259954,11052,4,2763.0
19,bwa,835259954,3072,4,768.0
20,bwa,835259954,7840,4,1960.0
21,bwa,835259954,6956,4,1739.0
22,bwa,835259954,14452,4,3613.0
23,bwa,835259954,20356,4,5089.0
24,bwa,835259954,26056,4,6514.0
25,bwa,835259954,3072,4,768.0
26,bwa,835259954,3072,4,768.0
27,bwa,835259954,16428,4,4107.0
28,bwa,835259954,12344,4,3086.0
29,bwa,835259954,20228,4,5057.0
30,bwa,835259954,13988,4,3497.0
31,bwa,835259954,25756,4,6439.0
32,bwa,835259954,17764,4,4441.0
33,bwa,835259954,21384,4,5346.0
34,bwa,835259954,15396,4,3849.0
35,bwa,835259954,5576,4,1394.0
36,bwa,835259954,12704,4,3176.0
37,bwa,835259954,10536,4,2634.0
38,bwa,835259954,5932,4,1483.0
39,bwa,835259954,3072,4,768.0
40,bwa,835259954,3072,4,768.0
41,bwa,835259954,9440,4,2360.0
42,bwa,835259954,13628,4,3407.0
43,bwa,835259954,3072,4,768.0
44,bwa,835259954,24712,4,6178.0
45,bwa,835259954,3072,4,768.0
46,bwa,835259954,29824,4,7456.0
47,bwa,835259954,3072,4,768.0
48,bwa,835259954,23336,4,5834.0
49,bwa,835259954,3072,4,768.0
50,bwa,835259954,11264,4,2816.0
51,bwa,835259954,3072,4,768.0
52,bwa,835259954,18936,4,4734.0
53,bwa,835259954,12616,4,3154.0
54,bwa,835259954,28204,4,7051.0
55,bwa,835259954,6168,4,1542.0
56,bwa,835259954,3072,4,768.0
57,bwa,835259954,3072,4,768.0
58,bwa,835259954,3072,4,768.0
59,bwa,835259954,3072,4,768.0
60,bwa,835259954,16136,4,4034.0
61,bwa,835259954,3072,4,768.0
62,bwa,835259954,19200,4,4800.0
63,bwa,835259954,3072,4,768.0
64,bwa,835259954,24312,4,6078.0
65,bwa,835259954,7276,4,1819.0
66,bwa,835259954,3072,4,768.0
67,bwa,835259954,18132,4,4533.0
68,bwa,835259954,3072,4,768.0
69,bwa,835259954,3072,4,768.0
70,bwa,835259954,8564,4,2141.0
71,bwa,835259954,3072,4,768.0
72,bwa,835259954,13920,4,3480.0
73,bwa,835259954,28064,4,7016.0
74,bwa,835259954,13600,4,3400.0
75,bwa,835259954,30200,4,7550.0
76,bwa,835259954,26300,4,6575.0
77,bwa,835259954,18656,4,4664.0
78,bwa,835259954,3072,4,768.0
79,bwa,835259954,3072,4,768.0
80,bwa,835259954,14836,4,3709.0
81,bwa,835259954,10940,4,2735.0
82,bwa,835259954,3072,4,768.0
83,bwa,835259954,18800,4,4700.0
84,bwa,835259954,3072,4,768.0
85,bwa,835259954,16136,4,4034.0
86,bwa,835259954,17148,4,4287.0
87,bwa,835259954,3072,4,768.0
88,bwa,835259954,3984,4,996.0
89,bwa,835259954,3072,4,768.0
90,bwa,835259954,3072,4,768.0
91,bwa,835259954,23636,4,5909.0
92,bwa,835259954,3072,4,768.0
93,bwa,835259954,14308,4,3577.0
94,bwa,835259954,8228,4,2057.0
95,bwa,835259954,21588,4,5397.0
96,bwa,835259954,9660,4,2415.0
97,bwa,835259954,3072,4,768.0
98,bwa,835259954,30520,4,7630.0
99,bwa,835259954,3072,4,768.0
100,bwa,835259954,17016,4,4254.0
101,bwa,835259954,3788,4,947.0
102,cat_bwa,78356715311,68574,6,11429.0
103,cat,78356712511,11,1,11.0
104,bwa,835259954,3072,4,768.0
105,bwa,835259954,14328,4,3582.0
106,bwa,835259954,11544,4,2886.0
107,bwa,835259954,3072,4,768.0
108,bwa,835259954,24196,4,6049.0
109,bwa,835259954,26688,4,6672.0
110,bwa,835259954,5376,4,1344.0
111,bwa,835259954,22756,4,5689.0
112,bwa,835259954,17072,4,4268.0
113,bwa,835259954,11980,4,2995.0
114,bwa,835259954,3072,4,768.0
115,bwa,835259954,7564,4,1891.0
116,bwa,835259954,3072,4,768.0
117,bwa,835259954,3072,4,768.0
118,bwa,835259954,3072,4,768.0
119,bwa,835259954,11220,4,2805.0
120,bwa,835259954,6624,4,1656.0
121,bwa,835259954,3072,4,768.0
122,bwa,835259954,3072,4,768.0
123,bwa,835259954,16804,4,4201.0
124,bwa,835259954,3072,4,768.0
125,bwa,835259954,13340,4,3335.0
126,bwa,835259954,25928,4,6482.0
127,bwa,835259954,3072,4,768.0
128,bwa,835259954,16920,4,4230.0
129,bwa,835259954,20424,4,5106.0
130,bwa,835259954,13528,4,3382.0
131,bwa,835259954,24812,4,6203.0
132,bwa,835259954,31332,4,7833.0
133,bwa,835259954,3072,4,768.0
134,bwa,835259954,3072,4,768.0
135,bwa,835259954,3072,4,768.0
136,bwa,835259954,13288,4,3322.0
137,bwa,835259954,3072,4,768.0
138,bwa,835259954,3072,4,768.0
139,bwa,835259954,11404,4,2851.0
140,bwa,835259954,3072,4,768.0
141,bwa,835259954,3072,4,768.0
142,bwa,835259954,25616,4,6404.0
143,bwa,835259954,26528,4,6632.0
144,bwa,835259954,13128,4,3282.0
145,bwa,835259954,7268,4,1817.0
146,bwa,835259954,3072,4,768.0
147,bwa,835259954,3072,4,768.0
148,bwa,835259954,7384,4,1846.0
149,bwa,835259954,3072,4,768.0
150,bwa,835259954,3072,4,768.0
151,bwa,835259954,3072,4,768.0
152,bwa,835259954,15916,4,3979.0
