,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,baseline_cycles,15320413,53696,8,6712.0
1,cycles,176097159,30100,7,4300.0
2,fertilizer_increase_cycles,174118193,29666,7,4238.0
3,cycles_fertilizer_increase_output_parser,310621821,55,1,55.0
4,baseline_cycles,16605139,66424,8,8303.0
5,cycles,106191573,7644,7,1092.0
6,fertilizer_increase_cycles,106072288,7602,7,1086.0
7,cycles_fertilizer_increase_output_parser,294014959,49,1,49.0
8,baseline_cycles,16752855,67888,8,8486.0
9,cycles,104919405,7238,7,1034.0
10,fertilizer_increase_cycles,104972899,7245,7,1035.0
11,cycles_fertilizer_increase_output_parser,391674518,83,1,83.0
12,baseline_cycles,10897486,9864,8,1233.0
13,cycles,196761877,36736,7,5248.0
14,fertilizer_increase_cycles,198887493,37695,7,5385.0
15,cycles_fertilizer_increase_output_parser,390063748,83,1,83.0
16,baseline_cycles,12288016,23648,8,2956.0
17,cycles,196287160,36582,7,5226.0
18,fertilizer_increase_cycles,197156637,37135,7,5305.0
19,cycles_fertilizer_increase_output_parser,314553056,57,1,57.0
20,baseline_cycles,13526129,35912,8,4489.0
21,cycles,107402439,8036,7,1148.0
22,fertilizer_increase_cycles,107067834,7924,7,1132.0
23,cycles_fertilizer_increase_output_parser,180566719,10,1,10.0
24,baseline_cycles,11311027,13968,8,1746.0
25,cycles,106935330,7882,7,1126.0
26,fertilizer_increase_cycles,104766353,7182,7,1026.0
27,cycles_fertilizer_increase_output_parser,320106134,58,1,58.0
28,baseline_cycles,16489523,65280,8,8160.0
29,cycles,214303481,42371,7,6053.0
30,fertilizer_increase_cycles,215520866,43092,7,6156.0
31,cycles_fertilizer_increase_output_parser,186053670,12,1,12.0
32,baseline_cycles,14289900,43480,8,5435.0
33,cycles,100836300,5922,7,846.0
34,fertilizer_increase_cycles,107107732,7938,7,1134.0
35,cycles_fertilizer_increase_output_parser,272981285,42,1,42.0
36,baseline_cycles,17177442,72096,8,9012.0
37,cycles,106097022,7616,7,1088.0
38,fertilizer_increase_cycles,103897082,6895,7,985.0
39,cycles_fertilizer_increase_output_parser,180563201,10,1,10.0
40,baseline_cycles,13290453,33576,8,4197.0
41,cycles,182133654,32039,7,4577.0
42,fertilizer_increase_cycles,179607550,31444,7,4492.0
43,cycles_fertilizer_increase_output_parser,180568481,10,1,10.0
44,baseline_cycles,12541714,26160,8,3270.0
45,cycles,106940347,7889,7,1127.0
46,fertilizer_increase_cycles,105344346,7364,7,1052.0
47,cycles_fertilizer_increase_output_parser,243770823,32,1,32.0
48,baseline_cycles,13653924,37184,8,4648.0
49,cycles,115023255,10479,7,1497.0
50,fertilizer_increase_cycles,113876027,10136,7,1448.0
51,cycles_fertilizer_increase_output_parser,243116832,32,1,32.0
52,baseline_cycles,16338700,63784,8,7973.0
53,cycles,105579031,7448,7,1064.0
