,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,individuals,31102440,34248,8,4281.0
1,individuals,31178980,34328,8,4291.0
2,individuals,36155254,39728,8,4966.0
3,individuals,34450214,37880,8,4735.0
4,individuals,38713142,42504,8,5313.0
5,individuals,28590174,31520,8,3940.0
6,individuals,33157726,36472,8,4559.0
7,individuals,38654010,42440,8,5305.0
8,individuals,39125498,42952,8,5369.0
9,individuals,37770179,41480,8,5185.0
10,individuals,32848454,36144,8,4518.0
11,individuals,14166728,15872,8,1984.0
12,individuals,22642118,25064,8,3133.0
13,individuals,22388570,24792,8,3099.0
14,individuals,21861933,24216,8,3027.0
15,individuals,11025323,12456,8,1557.0
16,individuals,40991654,44976,8,5622.0
17,individuals,17862865,19880,8,2485.0
18,individuals,16145537,18016,8,2252.0
19,individuals,12593347,14160,8,1770.0
20,individuals,26135007,28856,8,3607.0
21,individuals,13940539,15624,8,1953.0
22,individuals,41640894,45680,8,5710.0
23,individuals,20419402,22656,8,2832.0
24,individuals,3810400,4632,8,579.0
25,individuals_merge,525931323,38380,10,3838.0
26,sifting,6615375,77,1,77.0
27,individuals,29951827,33000,8,4125.0
28,individuals,30867487,33992,8,4249.0
29,individuals,20885842,23160,8,2895.0
30,individuals,39931951,43824,8,5478.0
31,individuals,6018525,7024,8,878.0
32,individuals,6466046,7512,8,939.0
33,individuals,36571748,40184,8,5023.0
34,individuals,24153687,26704,8,3338.0
35,individuals,25087539,27720,8,3465.0
36,individuals,33486793,36832,8,4604.0
37,individuals,27261042,30080,8,3760.0
38,individuals,25139474,27776,8,3472.0
39,individuals,41337269,45352,8,5669.0
40,individuals,8752152,9992,8,1249.0
41,individuals,33246420,36576,8,4572.0
42,individuals,22100298,24480,8,3060.0
43,individuals,21200901,23504,8,2938.0
44,individuals,39252430,43088,8,5386.0
45,individuals,41346797,45360,8,5670.0
46,individuals,14497487,16224,8,2028.0
47,individuals,11767204,13264,8,1658.0
48,individuals,32924548,36224,8,4528.0
49,individuals,39562667,43424,8,5428.0
50,individuals,13666306,15328,8,1916.0
51,individuals,35676134,39208,8,4901.0
52,individuals_merge,578709945,48860,10,4886.0
53,sifting,16588445,314,1,314.0
54,individuals,38408516,42176,8,5272.0
55,individuals,41372832,45392,8,5674.0
56,individuals,31374728,34544,8,4318.0
57,individuals,27256928,30072,8,3759.0
58,individuals,32380194,35632,8,4454.0
59,individuals,40821142,44792,8,5599.0
60,individuals,27463972,30296,8,3787.0
61,individuals,11405937,12872,8,1609.0
62,individuals,37819730,41536,8,5192.0
63,individuals,4374952,5240,8,655.0
64,individuals,32540004,35808,8,4476.0
65,individuals,13191743,14808,8,1851.0
66,individuals,29300021,32288,8,4036.0
67,individuals,34630143,38072,8,4759.0
68,individuals,15036641,16816,8,2102.0
69,individuals,17862415,19880,8,2485.0
70,individuals,17101409,19056,8,2382.0
71,individuals,17579585,19568,8,2446.0
72,individuals,26611343,29376,8,3672.0
73,individuals,31228898,34384,8,4298.0
74,individuals,18644550,20728,8,2591.0
75,individuals,39035966,42856,8,5357.0
76,individuals,39034280,42856,8,5357.0
77,individuals,39574515,43440,8,5430.0
78,individuals,36274288,39856,8,4982.0
79,individuals_merge,610177227,55110,10,5511.0
80,sifting,27819029,580,1,580.0
81,individuals,26640866,29408,8,3676.0
82,individuals,27528021,30368,8,3796.0
83,individuals,27989673,30864,8,3858.0
84,individuals,31808140,35008,8,4376.0
85,individuals,3810400,4632,8,579.0
86,individuals,41612853,45648,8,5706.0
87,individuals,34013020,37408,8,4676.0
88,individuals,40556317,44504,8,5563.0
89,individuals,35923470,39480,8,4935.0
90,individuals,33163946,36480,8,4560.0
91,individuals,22672322,25096,8,3137.0
92,individuals,41009228,44992,8,5624.0
93,individuals,36941497,40584,8,5073.0
94,individuals,32827823,36120,8,4515.0
95,individuals,20807522,23072,8,2884.0
96,individuals,11140392,12584,8,1573.0
97,individuals,21739668,24088,8,3011.0
98,individuals,39752655,43632,8,5454.0
99,individuals,19277603,21416,8,2677.0
100,individuals,40049192,43952,8,5494.0
101,individuals,33018610,36328,8,4541.0
102,individuals,36902505,40536,8,5067.0
103,individuals,25503689,28168,8,3521.0
104,individuals,32780852,36064,8,4508.0
105,individuals,24987129,27608,8,3451.0
106,individuals_merge,555446013,44240,10,4424.0
107,sifting,22585319,456,1,456.0
108,individuals,7426983,8552,8,1069.0
109,individuals,25925037,28624,8,3578.0
110,individuals,9097838,10368,8,1296.0
