,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,mProject,50062609,72000,12,6000.0
1,mProject,73126617,72000,12,6000.0
2,mProject,73976290,72000,12,6000.0
3,mProject,15803799,72000,12,6000.0
4,mProject,64321245,72000,12,6000.0
5,mProject,18307154,72000,12,6000.0
6,mProject,39103037,72000,12,6000.0
7,mProject,61386649,72000,12,6000.0
8,mProject,11957813,72000,12,6000.0
9,mProject,40283339,72000,12,6000.0
10,mProject,63581934,72000,12,6000.0
11,mProject,46175509,72000,12,6000.0
12,mProject,71630409,72000,12,6000.0
13,mProject,31582801,72000,12,6000.0
14,mProject,7617204,72000,12,6000.0
15,mProject,57085066,72000,12,6000.0
16,mDiffFit,116674450,220,1,220.0
17,mDiffFit,237362548,220,1,220.0
18,mDiffFit,206516330,220,1,220.0
19,mDiffFit,269351376,220,1,220.0
20,mDiffFit,211376349,220,1,220.0
21,mDiffFit,234642619,220,1,220.0
22,mDiffFit,401215777,220,1,220.0
23,mDiffFit,153690178,220,1,220.0
24,mDiffFit,114675453,220,1,220.0
25,mDiffFit,147581420,220,1,220.0
26,mDiffFit,122843337,220,1,220.0
27,mDiffFit,185678409,220,1,220.0
28,mDiffFit,127704894,220,1,220.0
29,mDiffFit,150969641,220,1,220.0
30,mDiffFit,158484806,220,1,220.0
31,mDiffFit,129623800,220,1,220.0
32,mDiffFit,173984811,220,1,220.0
33,mDiffFit,347557353,220,1,220.0
34,mDiffFit,401108508,220,1,220.0
35,mDiffFit,252715477,220,1,220.0
36,mDiffFit,183331090,220,1,220.0
37,mDiffFit,243532223,220,1,220.0
38,mDiffFit,257773697,220,1,220.0
39,mDiffFit,234759278,220,1,220.0
40,mDiffFit,248391867,220,1,220.0
41,mDiffFit,271658020,220,1,220.0
42,mDiffFit,229254189,220,1,220.0
43,mDiffFit,144316566,220,1,220.0
44,mDiffFit,218759681,220,1,220.0
45,mDiffFit,307940451,220,1,220.0
46,mDiffFit,209378711,220,1,220.0
47,mDiffFit,240157534,220,1,220.0
48,mDiffFit,211296398,220,1,220.0
49,mDiffFit,255658410,220,1,220.0
50,mDiffFit,177221621,220,1,220.0
51,mDiffFit,251663636,220,1,220.0
52,mDiffFit,361491143,220,1,220.0
53,mDiffFit,242283093,220,1,220.0
54,mDiffFit,273062589,220,1,220.0
55,mDiffFit,244202365,220,1,220.0
56,mDiffFit,288563655,220,1,220.0
57,mDiffFit,221868817,220,1,220.0
58,mDiffFit,213098004,220,1,220.0
59,mDiffFit,226729515,220,1,220.0
60,mDiffFit,249994236,220,1,220.0
61,mDiffFit,166726948,220,1,220.0
62,mDiffFit,143713453,220,1,220.0
63,mDiffFit,157345206,220,1,220.0
64,mDiffFit,203914008,220,1,220.0
65,mDiffFit,217545036,220,1,220.0
66,mDiffFit,240812022,220,1,220.0
67,mDiffFit,280379466,220,1,220.0
68,mDiffFit,303646531,220,1,220.0
69,mDiffFit,326661022,220,1,220.0
70,mDiffFit,218156278,220,1,220.0
71,mDiffFit,231787446,220,1,220.0
72,mDiffFit,208773179,220,1,220.0
73,mDiffFit,232040864,220,1,220.0
74,mDiffFit,245672050,220,1,220.0
75,mDiffFit,253185821,220,1,220.0
76,mDiffFit,224325623,220,1,220.0
77,mDiffFit,268686615,220,1,220.0
78,mDiffFit,435511914,220,1,220.0
79,mDiffFit,413924142,220,1,220.0
80,mDiffFit,299466374,220,1,220.0
81,mDiffFit,270605312,220,1,220.0
82,mConcatFit,277900,102,3,34.0
83,mBgModel,129293,416,8,52.0
84,mBackground,101971893,541,1,541.0
85,mBackground,18300023,541,1,541.0
86,mBackground,138987653,541,1,541.0
87,mBackground,99973598,541,1,541.0
88,mBackground,132878635,541,1,541.0
89,mBackground,117324865,541,1,541.0
90,mBackground,47941021,541,1,541.0
91,mBackground,108141222,541,1,541.0
92,mBackground,170976207,541,1,541.0
93,mBackground,122382840,541,1,541.0
94,mBackground,99370008,541,1,541.0
95,mBackground,113001678,541,1,541.0
96,mBackground,136267539,541,1,541.0
97,mBackground,143781519,541,1,541.0
98,mBackground,114920809,541,1,541.0
99,mBackground,159281763,541,1,541.0
100,mImgtbl,3630195918,2,1,2.0
101,mAdd,3630205884,37,1,37.0
102,mViewer,1244168640,324,1,324.0
103,mProject,59670635,72000,12,6000.0
104,mProject,66713455,72000,12,6000.0
105,mProject,50175176,72000,12,6000.0
106,mProject,67374988,72000,12,6000.0
107,mProject,71664359,72000,12,6000.0
108,mProject,72242696,72000,12,6000.0
