,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,sG1IterDecon,106826080,71744,8,8968.0
1,sG1IterDecon,46282386,30984,8,3873.0
2,sG1IterDecon,64589354,43304,8,5413.0
3,sG1IterDecon,67760109,45440,8,5680.0
4,sG1IterDecon,31033133,20712,8,2589.0
5,sG1IterDecon,11208400,7360,8,920.0
6,sG1IterDecon,11208400,7360,8,920.0
7,sG1IterDecon,29619583,19760,8,2470.0
8,sG1IterDecon,48559668,32512,8,4064.0
9,sG1IterDecon,88517628,59416,8,7427.0
10,sG1IterDecon,35565669,23768,8,2971.0
11,sG1IterDecon,37467988,25048,8,3131.0
12,sG1IterDecon,62612108,41976,8,5247.0
13,sG1IterDecon,45618084,30536,8,3817.0
14,sG1IterDecon,91966524,61744,8,7718.0
15,sG1IterDecon,25856998,17224,8,2153.0
16,sG1IterDecon,89031819,59768,8,7471.0
17,sG1IterDecon,38387952,25664,8,3208.0
18,sG1IterDecon,46614598,31208,8,3901.0
19,sG1IterDecon,11208400,7360,8,920.0
20,sG1IterDecon,104984109,70504,8,8813.0
21,sG1IterDecon,57147327,38296,8,4787.0
22,sG1IterDecon,11208400,7360,8,920.0
23,sG1IterDecon,43570947,29152,8,3644.0
24,sG1IterDecon,11208400,7360,8,920.0
25,sG1IterDecon,35529074,23736,8,2967.0
26,sG1IterDecon,74360270,49888,8,6236.0
27,sG1IterDecon,83536108,56064,8,7008.0
28,sG1IterDecon,42132681,28184,8,3523.0
29,sG1IterDecon,11208400,7360,8,920.0
30,sG1IterDecon,61934336,41520,8,5190.0
31,sG1IterDecon,11208400,7360,8,920.0
32,sG1IterDecon,68675932,46056,8,5757.0
33,sG1IterDecon,40162020,26856,8,3357.0
34,sG1IterDecon,91132937,61184,8,7648.0
35,sG1IterDecon,70653106,47392,8,5924.0
36,sG1IterDecon,83705672,56176,8,7022.0
37,sG1IterDecon,51202598,34296,8,4287.0
38,sG1IterDecon,76275882,51176,8,6397.0
39,sG1IterDecon,38724977,25888,8,3236.0
40,sG1IterDecon,42009256,28104,8,3513.0
41,sG1IterDecon,11208400,7360,8,920.0
42,sG1IterDecon,11208400,7360,8,920.0
43,sG1IterDecon,11208400,7360,8,920.0
44,sG1IterDecon,11208400,7360,8,920.0
45,sG1IterDecon,106730653,71680,8,8960.0
46,sG1IterDecon,11208400,7360,8,920.0
47,sG1IterDecon,85587931,57448,8,7181.0
48,sG1IterDecon,11208400,7360,8,920.0
49,sG1IterDecon,32839600,21928,8,2741.0
50,sG1IterDecon,52869308,35416,8,4427.0
51,sG1IterDecon,54642021,36608,8,4576.0
52,sG1IterDecon,81135557,54448,8,6806.0
53,sG1IterDecon,93308754,62648,8,7831.0
54,sG1IterDecon,65158641,43688,8,5461.0
55,sG1IterDecon,11208400,7360,8,920.0
56,sG1IterDecon,58160385,38976,8,4872.0
57,sG1IterDecon,11208400,7360,8,920.0
58,sG1IterDecon,11208400,7360,8,920.0
59,sG1IterDecon,82747145,55536,8,6942.0
60,sG1IterDecon,11208400,7360,8,920.0
61,sG1IterDecon,54759329,36688,8,4586.0
62,sG1IterDecon,11208400,7360,8,920.0
63,sG1IterDecon,11208400,7360,8,920.0
64,sG1IterDecon,73474177,49288,8,6161.0
65,sG1IterDecon,70350845,47184,8,5898.0
66,sG1IterDecon,40609546,27160,8,3395.0
67,sG1IterDecon,54116415,36256,8,4532.0
68,sG1IterDecon,34114934,22784,8,2848.0
69,sG1IterDecon,64299977,43112,8,5389.0
70,sG1IterDecon,31943597,21328,8,2666.0
71,sG1IterDecon,23553089,15680,8,1960.0
72,sG1IterDecon,59570616,39928,8,4991.0
73,sG1IterDecon,81343233,54592,8,6824.0
74,sG1IterDecon,18513840,12280,8,1535.0
75,sG1IterDecon,11208400,7360,8,920.0
76,sG1IterDecon,60469690,40536,8,5067.0
77,sG1IterDecon,95032944,63808,8,7976.0
