,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,alignment_to_reference,14063144,1957,1,1957.0
1,sort_sam,48946172,103,1,103.0
2,dedup,71064942,526,1,526.0
3,add_replace,71449361,1591,1,1591.0
4,realign_target_creator,84753880,16113,3,5371.0
5,indel_realign,84771080,2597,1,2597.0
6,haplotype_caller,91813786,5285,5,1057.0
7,haplotype_caller,91813730,5285,5,1057.0
8,haplotype_caller,91813773,5285,5,1057.0
9,haplotype_caller,91813744,5285,5,1057.0
10,haplotype_caller,91813754,5285,5,1057.0
11,haplotype_caller,91813774,5285,5,1057.0
12,haplotype_caller,91813766,5285,5,1057.0
13,haplotype_caller,91813729,5285,5,1057.0
14,haplotype_caller,91813779,5285,5,1057.0
15,haplotype_caller,91813717,5285,5,1057.0
16,alignment_to_reference,14063144,1306,1,1306.0
17,sort_sam,48946172,272,1,272.0
18,dedup,71064942,609,1,609.0
19,add_replace,71449361,803,1,803.0
20,realign_target_creator,70487453,1653,3,551.0
21,indel_realign,70504653,481,1,481.0
22,haplotype_caller,77218376,4285,5,857.0
23,haplotype_caller,77218378,4285,5,857.0
24,haplotype_caller,77218352,4285,5,857.0
25,haplotype_caller,77218383,4285,5,857.0
26,haplotype_caller,77218390,4285,5,857.0
27,haplotype_caller,77218332,4285,5,857.0
28,haplotype_caller,77218381,4285,5,857.0
29,haplotype_caller,77218312,4285,5,857.0
30,haplotype_caller,77218356,4285,5,857.0
31,haplotype_caller,77218386,4285,5,857.0
32,alignment_to_reference,14063144,510,1,510.0
33,sort_sam,48946172,130,1,130.0
34,dedup,71064942,2422,1,2422.0
35,add_replace,71449361,1609,1,1609.0
36,realign_target_creator,70487453,1653,3,551.0
37,indel_realign,70504653,481,1,481.0
38,haplotype_caller,94240352,5455,5,1091.0
39,haplotype_caller,94240378,5455,5,1091.0
40,haplotype_caller,94240383,5455,5,1091.0
41,haplotype_caller,94240355,5455,5,1091.0
42,haplotype_caller,94240345,5455,5,1091.0
43,haplotype_caller,94240380,5455,5,1091.0
44,haplotype_caller,94240386,5455,5,1091.0
45,haplotype_caller,94240355,5455,5,1091.0
46,haplotype_caller,94240339,5455,5,1091.0
47,haplotype_caller,94240325,5455,5,1091.0
48,alignment_to_reference,14063144,2248,1,2248.0
49,sort_sam,48946172,985,1,985.0
50,dedup,71064942,583,1,583.0
51,add_replace,71449361,1571,1,1571.0
52,realign_target_creator,77387649,8646,3,2882.0
53,indel_realign,77404849,1504,1,1504.0
54,haplotype_caller,82800306,4665,5,933.0
55,haplotype_caller,82800311,4665,5,933.0
56,haplotype_caller,82800258,4665,5,933.0
57,haplotype_caller,82800326,4665,5,933.0
58,haplotype_caller,82800314,4665,5,933.0
59,haplotype_caller,82800253,4665,5,933.0
60,haplotype_caller,82800285,4665,5,933.0
61,haplotype_caller,82800258,4665,5,933.0
62,haplotype_caller,82800293,4665,5,933.0
63,haplotype_caller,82800284,4665,5,933.0
64,alignment_to_reference,14063144,1413,1,1413.0
65,sort_sam,48946172,1002,1,1002.0
66,dedup,71064942,2101,1,2101.0
67,add_replace,71449361,181,1,181.0
68,realign_target_creator,70487453,1653,3,551.0
69,indel_realign,70504653,481,1,481.0
70,haplotype_caller,90788414,5215,5,1043.0
71,haplotype_caller,90788474,5215,5,1043.0
72,haplotype_caller,90788435,5215,5,1043.0
73,haplotype_caller,90788471,5215,5,1043.0
74,haplotype_caller,90788440,5215,5,1043.0
75,haplotype_caller,90788468,5215,5,1043.0
76,haplotype_caller,90788472,5215,5,1043.0
77,haplotype_caller,90788435,5215,5,1043.0
78,haplotype_caller,90788425,5215,5,1043.0
79,haplotype_caller,90788442,5215,5,1043.0
80,alignment_to_reference,14063144,1962,1,1962.0
81,sort_sam,48946172,806,1,806.0
82,dedup,71064942,2566,1,2566.0
83,add_replace,71449361,1545,1,1545.0
84,realign_target_creator,70487453,1653,3,551.0
85,indel_realign,70504653,481,1,481.0
86,haplotype_caller,93329859,5390,5,1078.0
87,haplotype_caller,93329808,5390,5,1078.0
88,haplotype_caller,93329851,5390,5,1078.0
89,haplotype_caller,93329826,5390,5,1078.0
90,haplotype_caller,93329878,5390,5,1078.0
91,haplotype_caller,93329847,5390,5,1078.0
92,haplotype_caller,93329800,5390,5,1078.0
93,haplotype_caller,93329862,5390,5,1078.0
94,haplotype_caller,93329846,5390,5,1078.0
95,haplotype_caller,93329866,5390,5,1078.0
96,alignment_to_reference,14063144,547,1,547.0
97,sort_sam,48946172,823,1,823.0
98,dedup,71064942,866,1,866.0
99,add_replace,71449361,1589,1,1589.0
100,realign_target_creator,70487453,1653,3,551.0
101,indel_realign,70504653,481,1,481.0
102,haplotype_caller,77129297,4275,5,855.0
103,haplotype_caller,77129285,4275,5,855.0
104,haplotype_caller,77129246,4275,5,855.0
105,haplotype_caller,77129298,4275,5,855.0
106,haplotype_caller,77129299,4275,5,855.0
107,haplotype_caller,77129307,4275,5,855.0
108,haplotype_caller,77129310,4275,5,855.0
109,haplotype_caller,77129295,4275,5,855.0
110,haplotype_caller,77129314,4275,5,855.0
111,haplotype_caller,77129314,4275,5,855.0
112,alignment_to_reference,14063144,2195,1,2195.0
113,sort_sam,48946172,838,1,838.0
114,dedup,71064942,639,1,639.0
115,add_replace,71449361,1555,1,1555.0
116,realign_target_creator,70487453,1653,3,551.0
117,indel_realign,70504653,481,1,481.0
118,haplotype_caller,74971622,4130,5,826.0
119,haplotype_caller,74971638,4130,5,826.0
120,haplotype_caller,74971607,4130,5,826.0
121,haplotype_caller,74971632,4130,5,826.0
122,haplotype_caller,74971584,4130,5,826.0
