,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,split_fasta,302,7,1,7.0
1,blastall,63060550,28056,8,3507.0
2,blastall,94717316,7464,8,933.0
3,blastall,117863807,5408,8,676.0
4,blastall,138540082,52904,8,6613.0
5,blastall,131603243,56384,8,7048.0
6,blastall,120527046,44920,8,5615.0
7,blastall,91164785,49808,8,6226.0
8,blastall,117309436,42216,8,5277.0
9,blastall,127656518,57144,8,7143.0
10,blastall,106592219,53000,8,6625.0
11,blastall,117809726,5408,8,676.0
12,blastall,109995991,54472,8,6809.0
13,blastall,124136566,6216,8,777.0
14,blastall,138135876,49816,8,6227.0
15,blastall,131810821,21544,8,2693.0
16,blastall,94138971,54680,8,6835.0
17,blastall,131958119,42120,8,5265.0
18,blastall,117219904,29880,8,3735.0
19,blastall,104679914,36552,8,4569.0
20,blastall,134458751,5408,8,676.0
21,blastall,120804277,17216,8,2152.0
22,blastall,87644787,47520,8,5940.0
23,blastall,130511950,46584,8,5823.0
24,blastall,115705521,45280,8,5660.0
25,blastall,128328599,34560,8,4320.0
26,blastall,97278471,59200,8,7400.0
27,blastall,117291834,58664,8,7333.0
28,blastall,120869919,48112,8,6014.0
29,blastall,104651849,46712,8,5839.0
30,blastall,101063144,48224,8,6028.0
31,blastall,119408566,34832,8,4354.0
32,blastall,116613387,18192,8,2274.0
33,blastall,131903143,49504,8,6188.0
34,blastall,136717001,41408,8,5176.0
35,blastall,111344993,30504,8,3813.0
36,blastall,134603249,39600,8,4950.0
37,blastall,113441491,55592,8,6949.0
38,blastall,93249892,57104,8,7138.0
39,blastall,128343873,33176,8,4147.0
40,blastall,97435396,43432,8,5429.0
41,cat_blast,69552159328,6,1,6.0
42,cat,69552159328,0,1,0.0
43,blastall,63060550,32080,8,4010.0
44,blastall,119515349,34976,8,4372.0
45,blastall,111444738,55616,8,6952.0
46,blastall,131279639,25280,8,3160.0
47,blastall,88448581,45608,8,5701.0
48,blastall,87961350,13144,8,1643.0
49,blastall,99107500,53600,8,6700.0
50,blastall,125617886,51960,8,6495.0
51,blastall,126067894,26104,8,3263.0
52,blastall,108971476,55144,8,6893.0
53,blastall,91633803,10032,8,1254.0
54,blastall,132863903,31984,8,3998.0
55,blastall,116760819,19496,8,2437.0
56,blastall,85303824,37912,8,4739.0
57,blastall,72792220,52296,8,6537.0
58,blastall,130085358,25512,8,3189.0
59,blastall,110691886,9128,8,1141.0
60,blastall,90804352,35640,8,4455.0
61,blastall,106822249,23264,8,2908.0
62,blastall,122395635,13888,8,1736.0
63,blastall,117594078,43808,8,5476.0
64,blastall,117993363,29824,8,3728.0
65,blastall,99681852,47576,8,5947.0
66,blastall,134495040,23336,8,2917.0
67,blastall,111485257,57376,8,7172.0
68,blastall,134221620,33568,8,4196.0
69,blastall,125552157,15416,8,1927.0
70,blastall,123699662,45848,8,5731.0
71,blastall,122681179,56872,8,7109.0
72,blastall,107085734,37432,8,4679.0
73,blastall,107515791,57792,8,7224.0
74,blastall,124862124,40248,8,5031.0
75,blastall,127042194,36680,8,4585.0
76,blastall,81390996,45480,8,5685.0
77,blastall,84622308,59128,8,7391.0
78,blastall,135446027,57608,8,7201.0
79,blastall,136542172,38384,8,4798.0
80,blastall,92630922,50872,8,6359.0
81,blastall,110097972,40136,8,5017.0
82,blastall,78847371,41584,8,5198.0
83,blastall,109190577,51912,8,6489.0
84,blastall,129176883,36152,8,4519.0
85,blastall,103862724,50000,8,6250.0
86,blastall,130865967,49104,8,6138.0
87,blastall,134181624,57040,8,7130.0
88,blastall,97165942,16336,8,2042.0
89,blastall,71939919,49792,8,6224.0
90,blastall,80521311,56888,8,7111.0
91,blastall,92787001,58240,8,7280.0
92,blastall,137687358,5408,8,676.0
93,blastall,63419901,54696,8,6837.0
94,blastall,122497456,58672,8,7334.0
95,blastall,129478090,57880,8,7235.0
96,blastall,125781938,19368,8,2421.0
97,blastall,74564135,58392,8,7299.0
98,blastall,134245875,55608,8,6951.0
99,blastall,91083125,53232,8,6654.0
100,blastall,121603341,39328,8,4916.0
101,blastall,108110784,25632,8,3204.0
102,blastall,131610760,52496,8,6562.0
103,blastall,105473663,56752,8,7094.0
104,blastall,136136314,27832,8,3479.0
105,blastall,118520422,42008,8,5251.0
106,blastall,131242225,37544,8,4693.0
107,blastall,125304553,57008,8,7126.0
108,blastall,129832649,7392,8,924.0
109,blastall,119637756,49904,8,6238.0
110,blastall,85730380,45240,8,5655.0
111,blastall,80893839,5408,8,676.0
112,blastall,129201277,49416,8,6177.0
113,blastall,116633589,5408,8,676.0
114,blastall,138872657,50880,8,6360.0
115,blastall,128789084,40840,8,5105.0
116,blastall,121364057,56944,8,7118.0
117,blastall,138843105,11016,8,1377.0
118,blastall,132151332,53912,8,6739.0
119,blastall,128294638,11088,8,1386.0
120,blastall,81376636,32440,8,4055.0
121,blastall,99910662,36936,8,4617.0
122,blastall,99633781,58176,8,7272.0
123,blastall,135641838,43032,8,5379.0
124,blastall,74912073,27368,8,3421.0
125,blastall,88195985,26256,8,3282.0
126,blastall,102268187,55544,8,6943.0
127,blastall,89237978,25192,8,3149.0
128,blastall,78117689,17240,8,2155.0
129,blastall,63060550,29200,8,3650.0
130,blastall,95246448,44056,8,5507.0
131,blastall,101963215,42680,8,5335.0
132,blastall,138341576,52776,8,6597.0
133,blastall,122046703,42952,8,5369.0
134,blastall,89676684,29208,8,3651.0
135,blastall,139225547,36064,8,4508.0
136,blastall,87889098,53080,8,6635.0
137,blastall,72616644,45744,8,5718.0
138,blastall,116897997,57944,8,7243.0
139,blastall,110454110,33800,8,4225.0
140,blastall,103432402,42616,8,5327.0
141,blastall,133206370,44384,8,5548.0
142,blastall,117208840,54152,8,6769.0
143,blastall,130924235,19096,8,2387.0
