,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,baseline_cycles,15320413,44440,8,5555.0
1,cycles,176097159,55874,7,7982.0
2,fertilizer_increase_cycles,174118193,5901,7,843.0
3,cycles_fertilizer_increase_output_parser,310621821,85,1,85.0
4,baseline_cycles,16605139,21456,8,2682.0
5,cycles,106191573,5922,7,846.0
6,fertilizer_increase_cycles,106072288,5901,7,843.0
7,cycles_fertilizer_increase_output_parser,294014959,11,1,11.0
8,baseline_cycles,16752855,52528,8,6566.0
9,cycles,104919405,15400,7,2200.0
10,fertilizer_increase_cycles,104972899,23898,7,3414.0
11,cycles_fertilizer_increase_output_parser,391674518,10,1,10.0
12,baseline_cycles,10897486,9760,8,1220.0
13,cycles,196761877,9807,7,1401.0
14,fertilizer_increase_cycles,198887493,5901,7,843.0
15,cycles_fertilizer_increase_output_parser,390063748,111,1,111.0
16,baseline_cycles,12288016,11712,8,1464.0
17,cycles,196287160,26271,7,3753.0
18,fertilizer_increase_cycles,197156637,5901,7,843.0
19,cycles_fertilizer_increase_output_parser,314553056,78,1,78.0
20,baseline_cycles,13526129,26440,8,3305.0
21,cycles,107402439,5922,7,846.0
22,fertilizer_increase_cycles,107067834,13209,7,1887.0
23,cycles_fertilizer_increase_output_parser,180566719,59,1,59.0
24,baseline_cycles,11311027,38776,8,4847.0
25,cycles,106935330,5922,7,846.0
26,fertilizer_increase_cycles,104766353,9268,7,1324.0
27,cycles_fertilizer_increase_output_parser,320106134,25,1,25.0
28,baseline_cycles,16489523,7376,8,922.0
29,cycles,214303481,5922,7,846.0
30,fertilizer_increase_cycles,215520866,29904,7,4272.0
31,cycles_fertilizer_increase_output_parser,186053670,37,1,37.0
32,baseline_cycles,14289900,7376,8,922.0
33,cycles,100836300,51772,7,7396.0
34,fertilizer_increase_cycles,107107732,39606,7,5658.0
35,cycles_fertilizer_increase_output_parser,272981285,26,1,26.0
36,baseline_cycles,17177442,42024,8,5253.0
37,cycles,106097022,39641,7,5663.0
38,fertilizer_increase_cycles,103897082,27895,7,3985.0
39,cycles_fertilizer_increase_output_parser,180563201,29,1,29.0
40,baseline_cycles,13290453,7376,8,922.0
41,cycles,182133654,5922,7,846.0
42,fertilizer_increase_cycles,179607550,23716,7,3388.0
43,cycles_fertilizer_increase_output_parser,180568481,86,1,86.0
44,baseline_cycles,12541714,7376,8,922.0
45,cycles,106940347,5922,7,846.0
46,fertilizer_increase_cycles,105344346,16317,7,2331.0
47,cycles_fertilizer_increase_output_parser,243770823,98,1,98.0
48,baseline_cycles,13653924,7376,8,922.0
49,cycles,115023255,5922,7,846.0
50,fertilizer_increase_cycles,113876027,5901,7,843.0
51,cycles_fertilizer_increase_output_parser,243116832,108,1,108.0
52,baseline_cycles,16338700,70024,8,8753.0
53,cycles,105579031,5922,7,846.0
54,fertilizer_increase_cycles,100830904,43330,7,6190.0
55,cycles_fertilizer_increase_output_parser,335514861,111,1,111.0
56,baseline_cycles,12438361,7376,8,922.0
57,cycles,104863663,37254,7,5322.0
58,fertilizer_increase_cycles,100836163,5901,7,843.0
59,cycles_fertilizer_increase_output_parser,288432707,52,1,52.0
60,baseline_cycles,15823866,30072,8,3759.0
61,cycles,106681516,52969,7,7567.0
62,fertilizer_increase_cycles,103714943,9947,7,1421.0
63,cycles_fertilizer_increase_output_parser,308102937,10,1,10.0
64,cycles_output_summary,2772683276,3,1,3.0
65,cycles_fertilizer_increase_output_summary,2255210,4,1,4.0
66,baseline_cycles,15134802,7376,8,922.0
67,cycles,121431953,5922,7,846.0
68,fertilizer_increase_cycles,123266848,29337,7,4191.0
69,cycles_fertilizer_increase_output_parser,226766297,70,1,70.0
70,baseline_cycles,14340702,19816,8,2477.0
71,cycles,219066453,36589,7,5227.0
72,fertilizer_increase_cycles,215363965,37632,7,5376.0
73,cycles_fertilizer_increase_output_parser,360998430,32,1,32.0
74,baseline_cycles,17300027,17672,8,2209.0
75,cycles,228561038,5922,7,846.0
76,fertilizer_increase_cycles,227626876,33215,7,4745.0
77,cycles_fertilizer_increase_output_parser,289682671,68,1,68.0
78,baseline_cycles,15384938,13968,8,1746.0
79,cycles,102070394,27636,7,3948.0
80,fertilizer_increase_cycles,102026116,11515,7,1645.0
81,cycles_fertilizer_increase_output_parser,226743646,102,1,102.0
82,baseline_cycles,15354215,33096,8,4137.0
83,cycles,151701330,52696,7,7528.0
84,fertilizer_increase_cycles,152120601,24402,7,3486.0
85,cycles_fertilizer_increase_output_parser,394867717,101,1,101.0
86,baseline_cycles,13399136,36528,8,4566.0
87,cycles,177765705,6860,7,980.0
88,fertilizer_increase_cycles,176022005,5901,7,843.0
89,cycles_fertilizer_increase_output_parser,180562336,109,1,109.0
90,baseline_cycles,10869243,7376,8,922.0
91,cycles,170123475,26845,7,3835.0
92,fertilizer_increase_cycles,172372833,19236,7,2748.0
93,cycles_fertilizer_increase_output_parser,321948407,111,1,111.0
94,baseline_cycles,15000278,41184,8,5148.0
95,cycles,111295841,5922,7,846.0
96,fertilizer_increase_cycles,112813391,17668,7,2524.0
97,cycles_fertilizer_increase_output_parser,233851847,61,1,61.0
98,baseline_cycles,14701794,40592,8,5074.0
99,cycles,104509314,5922,7,846.0
100,fertilizer_increase_cycles,102115271,5901,7,843.0
101,cycles_fertilizer_increase_output_parser,326673726,110,1,110.0
102,baseline_cycles,15290711,7376,8,922.0
103,cycles,100989322,36197,7,5171.0
104,fertilizer_increase_cycles,106910742,5901,7,843.0
105,cycles_fertilizer_increase_output_parser,310458942,93,1,93.0
106,baseline_cycles,14257423,34008,8,4251.0
107,cycles,105631038,13923,7,1989.0
108,fertilizer_increase_cycles,103804136,39928,7,5704.0
109,cycles_fertilizer_increase_output_parser,326968284,78,1,78.0
110,baseline_cycles,13812582,60760,8,7595.0
111,cycles,120833920,13174,7,1882.0
