,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,individuals,31102440,27856,8,3482.0
1,individuals,31178980,43864,8,5483.0
2,individuals,36155254,4632,8,579.0
3,individuals,34450214,4632,8,579.0
4,individuals,38713142,4632,8,579.0
5,individuals,28590174,45680,8,5710.0
6,individuals,33157726,42256,8,5282.0
7,individuals,38654010,32984,8,4123.0
8,individuals,39125498,13416,8,1677.0
9,individuals,37770179,19824,8,2478.0
10,individuals,32848454,35976,8,4497.0
11,individuals,14166728,7328,8,916.0
12,individuals,22642118,21872,8,2734.0
13,individuals,22388570,4632,8,579.0
14,individuals,21861933,7128,8,891.0
15,individuals,11025323,21600,8,2700.0
16,individuals,40991654,4632,8,579.0
17,individuals,17862865,25720,8,3215.0
18,individuals,16145537,4632,8,579.0
19,individuals,12593347,23224,8,2903.0
20,individuals,26135007,25112,8,3139.0
21,individuals,13940539,24272,8,3034.0
22,individuals,41640894,4632,8,579.0
23,individuals,20419402,8752,8,1094.0
24,individuals,3810400,4632,8,579.0
25,individuals_merge,525931323,65600,10,6560.0
26,sifting,6615375,138,1,138.0
27,individuals,29951827,24360,8,3045.0
28,individuals,30867487,18352,8,2294.0
29,individuals,20885842,29952,8,3744.0
30,individuals,39931951,20776,8,2597.0
31,individuals,6018525,38080,8,4760.0
32,individuals,6466046,26328,8,3291.0
33,individuals,36571748,31648,8,3956.0
34,individuals,24153687,22848,8,2856.0
35,individuals,25087539,8408,8,1051.0
36,individuals,33486793,18888,8,2361.0
37,individuals,27261042,15696,8,1962.0
38,individuals,25139474,8928,8,1116.0
39,individuals,41337269,4632,8,579.0
40,individuals,8752152,4632,8,579.0
41,individuals,33246420,14088,8,1761.0
42,individuals,22100298,20240,8,2530.0
43,individuals,21200901,4632,8,579.0
44,individuals,39252430,36544,8,4568.0
45,individuals,41346797,4632,8,579.0
46,individuals,14497487,44056,8,5507.0
47,individuals,11767204,4632,8,579.0
48,individuals,32924548,34520,8,4315.0
49,individuals,39562667,4632,8,579.0
50,individuals,13666306,16768,8,2096.0
51,individuals,35676134,4632,8,579.0
52,individuals_merge,578709945,66080,10,6608.0
53,sifting,16588445,68,1,68.0
54,individuals,38408516,4632,8,579.0
55,individuals,41372832,4632,8,579.0
56,individuals,31374728,42712,8,5339.0
57,individuals,27256928,43920,8,5490.0
58,individuals,32380194,15000,8,1875.0
59,individuals,40821142,39752,8,4969.0
60,individuals,27463972,39704,8,4963.0
61,individuals,11405937,19416,8,2427.0
62,individuals,37819730,12256,8,1532.0
63,individuals,4374952,29360,8,3670.0
64,individuals,32540004,30208,8,3776.0
65,individuals,13191743,26872,8,3359.0
66,individuals,29300021,12712,8,1589.0
67,individuals,34630143,12360,8,1545.0
68,individuals,15036641,20336,8,2542.0
69,individuals,17862415,8560,8,1070.0
70,individuals,17101409,22616,8,2827.0
71,individuals,17579585,10456,8,1307.0
72,individuals,26611343,34712,8,4339.0
73,individuals,31228898,4632,8,579.0
74,individuals,18644550,4632,8,579.0
75,individuals,39035966,4632,8,579.0
76,individuals,39034280,22848,8,2856.0
77,individuals,39574515,7000,8,875.0
78,individuals,36274288,4632,8,579.0
79,individuals_merge,610177227,69720,10,6972.0
80,sifting,27819029,68,1,68.0
81,individuals,26640866,22024,8,2753.0
82,individuals,27528021,16296,8,2037.0
83,individuals,27989673,4632,8,579.0
84,individuals,31808140,27856,8,3482.0
85,individuals,3810400,4632,8,579.0
86,individuals,41612853,23936,8,2992.0
87,individuals,34013020,25424,8,3178.0
88,individuals,40556317,4632,8,579.0
89,individuals,35923470,6064,8,758.0
90,individuals,33163946,4632,8,579.0
91,individuals,22672322,4632,8,579.0
92,individuals,41009228,34960,8,4370.0
93,individuals,36941497,4632,8,579.0
94,individuals,32827823,21248,8,2656.0
95,individuals,20807522,12304,8,1538.0
96,individuals,11140392,31952,8,3994.0
97,individuals,21739668,14416,8,1802.0
98,individuals,39752655,4632,8,579.0
99,individuals,19277603,45088,8,5636.0
100,individuals,40049192,4632,8,579.0
101,individuals,33018610,25224,8,3153.0
102,individuals,36902505,5776,8,722.0
103,individuals,25503689,11384,8,1423.0
104,individuals,32780852,4632,8,579.0
105,individuals,24987129,15688,8,1961.0
106,individuals_merge,555446013,67470,10,6747.0
107,sifting,22585319,170,1,170.0
108,individuals,7426983,4632,8,579.0
109,individuals,25925037,21272,8,2659.0
110,individuals,9097838,17184,8,2148.0
111,individuals,35109923,4632,8,579.0
112,individuals,40587657,35784,8,4473.0
113,individuals,3810400,39448,8,4931.0
114,individuals,8959214,8112,8,1014.0
115,individuals,8714491,33672,8,4209.0
116,individuals,28072336,25312,8,3164.0
117,individuals,28055951,17824,8,2228.0
118,individuals,23136584,4632,8,579.0
119,individuals,22205259,11328,8,1416.0
120,individuals,32882485,4632,8,579.0
121,individuals,3810400,4632,8,579.0
122,individuals,10063689,4632,8,579.0
123,individuals,37449730,16704,8,2088.0
124,individuals,40656984,9944,8,1243.0
125,individuals,14696515,4632,8,579.0
126,individuals,31641894,4632,8,579.0
127,individuals,37093646,24920,8,3115.0
128,individuals,21161846,4632,8,579.0
129,individuals,15706747,19824,8,2478.0
130,individuals,22510342,38336,8,4792.0
131,individuals,38641268,4632,8,579.0
132,individuals,37747200,25088,8,3136.0
133,individuals_merge,687681210,66230,10,6623.0
134,sifting,13366293,580,1,580.0
135,individuals,19249170,13424,8,1678.0
136,individuals,19064247,20648,8,2581.0
137,individuals,37613462,4632,8,579.0
138,individuals,35690066,35096,8,4387.0
139,individuals,37956074,4632,8,579.0
140,individuals,4043805,4632,8,579.0
141,individuals,11199968,4632,8,579.0
142,individuals,41514068,15488,8,1936.0
143,individuals,29767558,4632,8,579.0
144,individuals,6281293,4632,8,579.0
145,individuals,12200585,26576,8,3322.0
146,individuals,35601358,11784,8,1473.0
147,individuals,33990214,21464,8,2683.0
148,individuals,18119130,16976,8,2122.0
149,individuals,34738217,19768,8,2471.0
150,individuals,3810400,36072,8,4509.0
151,individuals,34044930,5056,8,632.0
152,individuals,33231785,4632,8,579.0
153,individuals,30588553,41704,8,5213.0
154,individuals,34918683,11880,8,1485.0
155,individuals,32369291,13936,8,1742.0
156,individuals,19415389,4632,8,579.0
157,individuals,3810400,33240,8,4155.0
158,individuals,27244198,4632,8,579.0
159,individuals,23439031,10776,8,1347.0
160,individuals_merge,605558037,15030,10,1503.0
161,sifting,10103454,89,1,89.0
162,individuals,20171918,4632,8,579.0
163,individuals,39283842,16528,8,2066.0
164,individuals,19419014,38384,8,4798.0
165,individuals,28499427,24792,8,3099.0
166,individuals,34859219,5632,8,704.0
167,individuals,12832705,24688,8,3086.0
168,individuals,39724723,31664,8,3958.0
169,individuals,10220347,43112,8,5389.0
170,individuals,35784163,4632,8,579.0
171,individuals,28743897,12560,8,1570.0
172,individuals,20203327,12512,8,1564.0
173,individuals,19934376,4632,8,579.0
174,individuals,21377077,7392,8,924.0
175,individuals,14610723,39216,8,4902.0
176,individuals,5077945,11576,8,1447.0
177,individuals,20107734,4632,8,579.0
178,individuals,32802461,34336,8,4292.0
179,individuals,27814693,4632,8,579.0
180,individuals,27165525,25600,8,3200.0
181,individuals,14387403,4632,8,579.0
182,individuals,30151142,29504,8,3688.0
183,individuals,14452913,10968,8,1371.0
184,individuals,25576445,28584,8,3573.0
185,individuals,23459039,43720,8,5465.0
186,individuals,24277766,32112,8,4014.0
187,individuals_merge,594125672,70090,10,7009.0
188,sifting,19162471,317,1,317.0
189,individuals,26632444,29864,8,3733.0
190,individuals,34532700,7536,8,942.0
191,individuals,39994520,38600,8,4825.0
192,individuals,40338355,14608,8,1826.0
193,individuals,15152167,41664,8,5208.0
194,individuals,32997228,4632,8,579.0
195,individuals,11087178,4632,8,579.0
196,individuals,20851248,21472,8,2684.0
197,individuals,9640533,4632,8,579.0
198,individuals,9146876,4632,8,579.0
199,individuals,30933429,4632,8,579.0
200,individuals,34357563,4632,8,579.0
201,individuals,26348975,4632,8,579.0
202,individuals,3810400,19656,8,2457.0
203,individuals,29784178,31504,8,3938.0
204,individuals,10204769,37816,8,4727.0
205,individuals,33247810,25056,8,3132.0
206,individuals,24434424,28128,8,3516.0
207,individuals,33444031,33128,8,4141.0
208,individuals,27322550,4632,8,579.0
209,individuals,20870627,4632,8,579.0
210,individuals,27034697,4632,8,579.0
211,individuals,5964069,4632,8,579.0
212,individuals,39449639,8264,8,1033.0
213,individuals,30710090,14144,8,1768.0
214,individuals_merge,563224237,17990,10,1799.0
215,sifting,22154318,173,1,173.0
216,individuals,31375665,13728,8,1716.0
217,individuals,36563380,4632,8,579.0
218,individuals,16006129,8648,8,1081.0
219,individuals,17006635,9280,8,1160.0
220,individuals,31608526,10944,8,1368.0
221,individuals,21381190,14600,8,1825.0
222,individuals,25715077,26960,8,3370.0
223,individuals,25203770,4632,8,579.0
224,individuals,35850251,31872,8,3984.0
225,individuals,25298965,5864,8,733.0
226,individuals,37888378,4632,8,579.0
227,individuals,28345686,16984,8,2123.0
228,individuals,23775428,34096,8,4262.0
229,individuals,6211997,4632,8,579.0
230,individuals,23380593,22648,8,2831.0
231,individuals,38147353,12192,8,1524.0
232,individuals,41374016,21664,8,2708.0
233,individuals,35947967,4632,8,579.0
234,individuals,23301214,41064,8,5133.0
235,individuals,34434100,7976,8,997.0
236,individuals,3810400,9720,8,1215.0
237,individuals,21361076,36376,8,4547.0
238,individuals,33602191,4632,8,579.0
239,individuals,36123481,39120,8,4890.0
240,individuals,31143481,32080,8,4010.0
241,individuals_merge,652545980,13600,10,1360.0
242,sifting,27286088,68,1,68.0
