,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,sG1IterDecon,106826080,43800,8,5475.0
1,sG1IterDecon,46282386,69632,8,8704.0
2,sG1IterDecon,64589354,7360,8,920.0
3,sG1IterDecon,67760109,7360,8,920.0
4,sG1IterDecon,31033133,7360,8,920.0
5,sG1IterDecon,11208400,72560,8,9070.0
6,sG1IterDecon,11208400,67032,8,8379.0
7,sG1IterDecon,29619583,52072,8,6509.0
8,sG1IterDecon,48559668,20496,8,2562.0
9,sG1IterDecon,88517628,30824,8,3853.0
10,sG1IterDecon,35565669,56888,8,7111.0
11,sG1IterDecon,37467988,10664,8,1333.0
12,sG1IterDecon,62612108,34144,8,4268.0
13,sG1IterDecon,45618084,7360,8,920.0
14,sG1IterDecon,91966524,10344,8,1293.0
15,sG1IterDecon,25856998,33696,8,4212.0
16,sG1IterDecon,89031819,7360,8,920.0
17,sG1IterDecon,38387952,40344,8,5043.0
18,sG1IterDecon,46614598,7360,8,920.0
19,sG1IterDecon,11208400,36320,8,4540.0
20,sG1IterDecon,104984109,39360,8,4920.0
21,sG1IterDecon,57147327,38008,8,4751.0
22,sG1IterDecon,11208400,7360,8,920.0
23,sG1IterDecon,43570947,12968,8,1621.0
24,sG1IterDecon,11208400,7360,8,920.0
25,sG1IterDecon,35529074,46408,8,5801.0
26,sG1IterDecon,74360270,63848,8,7981.0
27,sG1IterDecon,83536108,54408,8,6801.0
28,sG1IterDecon,42132681,7360,8,920.0
29,sG1IterDecon,11208400,64640,8,8080.0
30,sG1IterDecon,61934336,50008,8,6251.0
31,sG1IterDecon,11208400,16976,8,2122.0
32,sG1IterDecon,68675932,8216,8,1027.0
33,sG1IterDecon,40162020,7360,8,920.0
34,sG1IterDecon,91132937,58768,8,7346.0
35,sG1IterDecon,70653106,7360,8,920.0
36,sG1IterDecon,83705672,7360,8,920.0
37,sG1IterDecon,51202598,30608,8,3826.0
38,sG1IterDecon,76275882,7360,8,920.0
39,sG1IterDecon,38724977,27632,8,3454.0
40,sG1IterDecon,42009256,24384,8,3048.0
41,sG1IterDecon,11208400,7360,8,920.0
42,sG1IterDecon,11208400,7360,8,920.0
43,sG1IterDecon,11208400,7360,8,920.0
44,sG1IterDecon,11208400,7360,8,920.0
45,sG1IterDecon,106730653,7360,8,920.0
46,sG1IterDecon,11208400,7360,8,920.0
47,sG1IterDecon,85587931,7360,8,920.0
48,sG1IterDecon,11208400,7360,8,920.0
49,sG1IterDecon,32839600,7360,8,920.0
50,sG1IterDecon,52869308,47024,8,5878.0
51,sG1IterDecon,54642021,7360,8,920.0
52,sG1IterDecon,81135557,20720,8,2590.0
53,sG1IterDecon,93308754,7360,8,920.0
54,sG1IterDecon,65158641,7360,8,920.0
55,sG1IterDecon,11208400,67768,8,8471.0
56,sG1IterDecon,58160385,69720,8,8715.0
57,sG1IterDecon,11208400,23048,8,2881.0
58,sG1IterDecon,11208400,62984,8,7873.0
59,sG1IterDecon,82747145,62920,8,7865.0
60,sG1IterDecon,11208400,30176,8,3772.0
61,sG1IterDecon,54759329,18616,8,2327.0
62,sG1IterDecon,11208400,46216,8,5777.0
63,sG1IterDecon,11208400,47592,8,5949.0
64,sG1IterDecon,73474177,42208,8,5276.0
65,sG1IterDecon,70350845,19352,8,2419.0
66,sG1IterDecon,40609546,18792,8,2349.0
67,sG1IterDecon,54116415,31664,8,3958.0
68,sG1IterDecon,34114934,12656,8,1582.0
69,sG1IterDecon,64299977,35336,8,4417.0
70,sG1IterDecon,31943597,15720,8,1965.0
71,sG1IterDecon,23553089,54856,8,6857.0
72,sG1IterDecon,59570616,7360,8,920.0
73,sG1IterDecon,81343233,7360,8,920.0
74,sG1IterDecon,18513840,7360,8,920.0
