,Abstract Task,Input Data in Bytes,CPU Work,CPU Cores,CPU Work per Core
0,alignment_to_reference,14063144,1957,1,1957.0
1,sort_sam,48946172,103,1,103.0
2,dedup,71064942,526,1,526.0
3,add_replace,71449361,1591,1,1591.0
4,realign_target_creator,84753880,10509,3,3503.0
5,indel_realign,84771080,1867,1,1867.0
6,haplotype_caller,91813786,4120,5,824.0
7,haplotype_caller,91813730,4120,5,824.0
8,haplotype_caller,91813773,4120,5,824.0
9,haplotype_caller,91813744,4120,5,824.0
10,haplotype_caller,91813754,24230,5,4846.0
11,haplotype_caller,91813774,38160,5,7632.0
12,haplotype_caller,91813766,6965,5,1393.0
13,haplotype_caller,91813729,9780,5,1956.0
14,haplotype_caller,91813779,4120,5,824.0
15,haplotype_caller,91813717,6175,5,1235.0
16,alignment_to_reference,14063144,1306,1,1306.0
17,sort_sam,48946172,272,1,272.0
18,dedup,71064942,609,1,609.0
19,add_replace,71449361,803,1,803.0
20,realign_target_creator,70487453,2508,3,836.0
21,indel_realign,70504653,2112,1,2112.0
22,haplotype_caller,77218376,22535,5,4507.0
23,haplotype_caller,77218378,4120,5,824.0
24,haplotype_caller,77218352,9390,5,1878.0
25,haplotype_caller,77218383,4120,5,824.0
26,haplotype_caller,77218390,26950,5,5390.0
27,haplotype_caller,77218332,36105,5,7221.0
28,haplotype_caller,77218381,31145,5,6229.0
29,haplotype_caller,77218312,4120,5,824.0
30,haplotype_caller,77218356,36520,5,7304.0
31,haplotype_caller,77218386,28835,5,5767.0
32,alignment_to_reference,14063144,510,1,510.0
33,sort_sam,48946172,130,1,130.0
34,dedup,71064942,2422,1,2422.0
35,add_replace,71449361,1609,1,1609.0
36,realign_target_creator,70487453,3861,3,1287.0
37,indel_realign,70504653,553,1,553.0
38,haplotype_caller,94240352,17970,5,3594.0
39,haplotype_caller,94240378,15270,5,3054.0
40,haplotype_caller,94240383,9540,5,1908.0
41,haplotype_caller,94240355,4120,5,824.0
42,haplotype_caller,94240345,4120,5,824.0
43,haplotype_caller,94240380,13910,5,2782.0
44,haplotype_caller,94240386,19125,5,3825.0
45,haplotype_caller,94240355,4790,5,958.0
46,haplotype_caller,94240339,32935,5,6587.0
47,haplotype_caller,94240325,4120,5,824.0
48,alignment_to_reference,14063144,2248,1,2248.0
49,sort_sam,48946172,985,1,985.0
50,dedup,71064942,583,1,583.0
51,add_replace,71449361,1571,1,1571.0
52,realign_target_creator,77387649,15180,3,5060.0
53,indel_realign,77404849,2221,1,2221.0
54,haplotype_caller,82800306,4120,5,824.0
55,haplotype_caller,82800311,13460,5,2692.0
56,haplotype_caller,82800258,4120,5,824.0
57,haplotype_caller,82800326,4120,5,824.0
58,haplotype_caller,82800314,38160,5,7632.0
59,haplotype_caller,82800253,39180,5,7836.0
60,haplotype_caller,82800285,14680,5,2936.0
61,haplotype_caller,82800258,35650,5,7130.0
62,haplotype_caller,82800293,35610,5,7122.0
63,haplotype_caller,82800284,18425,5,3685.0
64,alignment_to_reference,14063144,1413,1,1413.0
65,sort_sam,48946172,1002,1,1002.0
66,dedup,71064942,2101,1,2101.0
67,add_replace,71449361,181,1,181.0
68,realign_target_creator,70487453,9957,3,3319.0
69,indel_realign,70504653,1195,1,1195.0
70,haplotype_caller,90788414,24735,5,4947.0
71,haplotype_caller,90788474,4120,5,824.0
72,haplotype_caller,90788435,4120,5,824.0
73,haplotype_caller,90788471,12815,5,2563.0
74,haplotype_caller,90788440,4120,5,824.0
75,haplotype_caller,90788468,19485,5,3897.0
76,haplotype_caller,90788472,37105,5,7421.0
77,haplotype_caller,90788435,19090,5,3818.0
78,haplotype_caller,90788425,39770,5,7954.0
79,haplotype_caller,90788442,34915,5,6983.0
80,alignment_to_reference,14063144,1962,1,1962.0
81,sort_sam,48946172,806,1,806.0
82,dedup,71064942,2566,1,2566.0
83,add_replace,71449361,1545,1,1545.0
84,realign_target_creator,70487453,1653,3,551.0
85,indel_realign,70504653,1446,1,1446.0
86,haplotype_caller,93329859,4120,5,824.0
87,haplotype_caller,93329808,23825,5,4765.0
88,haplotype_caller,93329851,4120,5,824.0
89,haplotype_caller,93329826,14775,5,2955.0
90,haplotype_caller,93329878,4120,5,824.0
91,haplotype_caller,93329847,29580,5,5916.0
92,haplotype_caller,93329800,4120,5,824.0
93,haplotype_caller,93329862,4120,5,824.0
94,haplotype_caller,93329846,4120,5,824.0
95,haplotype_caller,93329866,26595,5,5319.0
96,alignment_to_reference,14063144,547,1,547.0
97,sort_sam,48946172,823,1,823.0
98,dedup,71064942,866,1,866.0
99,add_replace,71449361,1589,1,1589.0
100,realign_target_creator,70487453,9279,3,3093.0
101,indel_realign,70504653,2416,1,2416.0
102,haplotype_caller,77129297,14185,5,2837.0
103,haplotype_caller,77129285,4120,5,824.0
104,haplotype_caller,77129246,40170,5,8034.0
105,haplotype_caller,77129298,4120,5,824.0
106,haplotype_caller,77129299,23345,5,4669.0
107,haplotype_caller,77129307,6865,5,1373.0
108,haplotype_caller,77129310,11620,5,2324.0
109,haplotype_caller,77129295,4120,5,824.0
110,haplotype_caller,77129314,15265,5,3053.0
111,haplotype_caller,77129314,29840,5,5968.0
112,alignment_to_reference,14063144,2195,1,2195.0
113,sort_sam,48946172,838,1,838.0
114,dedup,71064942,639,1,639.0
115,add_replace,71449361,1555,1,1555.0
116,realign_target_creator,70487453,6774,3,2258.0
117,indel_realign,70504653,2610,1,2610.0
118,haplotype_caller,74971622,35395,5,7079.0
119,haplotype_caller,74971638,8845,5,1769.0
120,haplotype_caller,74971607,30495,5,6099.0
121,haplotype_caller,74971632,23415,5,4683.0
